spellName,"type","tier",categories,"reach","time","duration","effect"
Skull Cracker,Physical,I,"Mono, Stunned, Status, Physical (A)",1 target within 5 meters,Default,Instant,Hit: STRd6 Physical damage and Stunned chance: 20%. Add 5% for each Hit Point rolled over target's Dodge.
Assault Dive,Physical,I,"Mono, Physical (A)",1 target within 2 meters,Default,Instant,Hit: STRd8 Physical damage
Holy Arrow,Physical,I,"Mono, Charmed, Status, Gun, Physical (A)",1 target within 5 meters,Default,Instant,Hit: STRd6 Gun damage and Charmed chance: 10%+2TEC%
Double Claw,Physical,I,"Combo, Physical (A)",Up to 2 targets within 4 meters,Default,Instant,"Hit: STRd6+5 Physical damage. If you choose to hit 2 targets, deal half the rolled damage to each."
Force Wave,Physical,I,"Knockdown, Status, Multi, Physical (A)",Up to 3 targets within 4 meters,Default,Instant,Hit: STRd6 Physical damage and Knockdown (Weakness) chance: 100%
Cleave,Physical,I,"Line, Physical (A)",All targets between you and a point within 3 meters,Default,Instant,Hit: STRd4+8 Physical damage. Move to the chosen point at the end of your action.
Gale Slash,Physical,I,"Total, Physical (A)",Any number of targets within 2 meters,Default,Instant,Hit: STRd4 Physical damage
Arrow Rain,Physical,I,"Total, Gun, Physical (A)",Any number of targets the caster can see,Default,Instant,Spend 1 Energy to cast. Hit: STRd4+6 Gun damage.
Fatal End,Physical,II,"Mono, Physical (A)",1 target within 2 meters,Default,Instant,Hit: STRd10+2 Physical damage
Mind Slice,Physical,II,"Mono, Panic, Status, Physical (A)",1 adjacent target,Default,Instant,"Hit: STRd8+7 Physical damage, Panicked chance: 10+2TEC%."
Cruel Impulse,Physical,II,"Mono, Physical (A)",1 target within 6 meters,Default,Instant,Hit: STRd8+7 Physical damage
Poisonous Stab,Physical,II,"Mono, Poison, Status, Physical (A)",1 target within 6 meters,Default,Instant,"Hit: STRd6+8 Physical Damage, Poisoned chance: 15%. Add 5% for each Hit point rolled over the target's Dodge."
Aeon Rain,Physical,II,"Multi, Gun, Physical (A)",Up to 3 targets within 4 meters,Default,Instant,Hit: STRd6+8 Gun damage
Path of Blades,Physical,II,"Multi, Physical (A)",Any number of targets you can became adjacent to during your mowement.,Default,Instant,"Hit: STRd8+2 Physical damage. As part of the casting process, perform your full movement action."
Chains of Madness,Physical,II,"Multi, Enraged, Status, Physical (A)",Any number of targets within 6 meters,Default,Instant,"Hit: STRd4+6 Physical damage, Enraged chance: 10%"
Seal Bomb,Physical,II,"Multi, Panicked, Status, Physical (A)",1 target within 5 meters and units adjacent to that target,Default,Instant,Hit: STRd8 Physical damage and Panicked chance: 15+2TEC%.
Herculean Strike,Physical,II,"Total, Physical (A)",Any number of targets the caster can see,Default,Instant,Spend 1 Energy to cast. Hit: STRd6+4 Physical damage.
Tempest Slash,Physical,III,"Mono, Combo, Physical (A)",1 target within 3 meters,Default,Instant,Hit: STRd8+5 Physical damage and roll a second attack that deals STRd4+5 Physical damage.
