spellName,"type","tier",categories,"reach","time","duration","effect"
Aqua (SoS III),Water,I,"Mono, Ice, Water, Imbue (A)",1 target within 8 meters,Default,Instant,"Hit: MAGd6 Ice damage. Imbue: Restores PLv HP to the target."
Ha Aqua (SoS III),Water,I,"Multi, Ice, Water, Imbue (A)",Up to 3 targets within 7 meters,Default,Instant,"Hit: MAGd4 Ice damage. Imbue: Target gains +1 DR until the end of their turn. This is not considered a Buff effect."
Malaqua (SoS III),Water,I,"Total, Ice, Water, Imbue (A)",Any number of targets the caster can see,Default,Instant,"Hit: MAGd4-5 Ice damage. Imbue: Remove one Debuff or Status effect from the target."
Aques (SoS III),Water,II,"Mono, Ice, Water, Imbue (A)",1 target within 8 meters,Default,Instant,"Hit: MAGd8 Ice damage. Imbue: Restores PLv*2 HP to the target."
Ha Aques (SoS III),Water,II,"Multi, Ice, Water, Imbue (A)",Up to 3 targets within 7 meters,Default,Instant,"Hit: MAGd4+8 Ice damage. Imbue: Target gains +2 DR until the end of their turn. This is not considered a Buff effect."
Malaques (SoS III),Water,II,"Total, Ice, Water, Imbue (A)",Any number of targets the caster can see,Default,Instant,"Hit: MAGd4 Ice damage. Imbue: Remove up to two Status effects from the target and the target receives Resist Status until the end of your next turn."
Aquadyne (SoS III),Water,III,"Mono, Ice, Water, Imbue (A)",1 target within 8 meters,Default,Instant,"Hit: MAGd10 Ice damage. Imbue: Restores PLv*2 HP to the target. This spell can target Users in Death's Door. If you do, this revives them with 50% HP, then apply the original effect of this spell."
Ha Aquadyne (SoS III),Water,III,"Multi, Ice, Water, Imbue (A)",Up to 3 targets within 7 meters,Default,Instant,"Hit: MAGd6+MAG Ice damage. Choose one of the following: ❖ Imbue: Target gains +3 DR until the end of their turn. This is not considered a Buff effect. ❖ When you cast this spell, choose one Damage Type. Target gains Fortify <Chosen Type> +6 until the end of their turn. This is not considered a Buff effect."
Malaquadyne (SoS III),Water,III,"Total, Ice, Water, Imbue (A)",Any number of targets the caster can see,Default,Instant,"Hit: MAGd4+6 Ice damage. Choose one of the following: ❖ Imbue: Remove one Status effect from the target. The target cannot suffer that States effect for the next 3 rounds. ❖ Imbue: Remove one Debuff effect from the target and choose one Combat Skill: Checks made with that Skill ignore Debuff effects for the next 3 rounds."
Bloody Honeymoon (SoS III),Water,V,"Mono, Ice, Water, Imbue, Unique, Repress (A)",1 target within 9 meters,Default,Instant,"Hit: MAGd10 Ice damage. Imbue: Target recovers one spell use of Tier III or below. Repress to add the following effect to the Imbue: This can include Repressed spells."
Magna (SoS III),Earth,I,"Mono, Fire, Earth, Duel, Debuff (A)",1 target within 8 meters,Default,Instant,"Hit: STRd6 Fire damage. Dueling: Reduce your Duel target's movement allowance by half."
Ha Magna (SoS III),Earth,I,"Multi, Fire, Earth, Duel, Debuff (A)",Up to 3 targets within 7 meters,Default,Instant,"Hit: STRd4 Fire damage. Dueling: Your Dueling target suffers Fortify <Physical, Fire> -2."
Ma Magna (SoS III),Earth,I,"Total, Fire, Earth, Duel, Debuff (A)",Any number of targets the caster can see,Default,Instant,"Hit: STRd4-5 Fire damage. Dueling: The target suffers a -1 AGI penalty to all dodge checks against attacks and spells you declare."
Magnara (SoS III),Earth,II,"Mono, Fire, Earth, Duel, Move (A)",1 target within 8 meters,Default,Instant,"Hit: STRd8 Fire damage. Dueling: Move your Duel target up to TEC meters towards you."
Ha Magnara (SoS III),Earth,II,"Multi, Fire, Earth, Duel, Debuff (A)",Up to 3 targets within 7 meters,Default,Instant,"Hit: STRd4+8 Fire damage. Dueling: Your Dueling target suffers Fortify <Physical, Fire> -X, where X is your STR score."
Ma Magnara (SoS III),Earth,II,"Total, Fire, Earth, Duel, Debuff (A)",Any number of targets the caster can see,Default,Instant,"Hit: STRd4 Fire damage. Dueling: The target's AGI is halved to roll dodge checks against the next attack or spell you declare against them."
Magnadyne (SoS III),Earth,III,"Mono, Fire, Earth, Duel, Move (A)",1 target within 8 meters,Default,Instant,"Hit: STRd10 Fire damage. Choose one of the following: ❖ Dueling: Move yourself to an unoccupied position adjacent to your Duel target as a Free action. ❖ Dueling: Move your Duel target to an unoccupied position adjacent to you, and it cannot declare a movement action until the end of your next turn."
Ha Magnadyne (SoS III),Earth,III,"Multi, Fire, Earth, Duel, Debuff (A)",Up to 3 targets within 7 meters,Default,Instant,"Hit: STRd6+STR Fire damage. Dueling: Your Duel target's Physical or Fire interaction (your choice) is downgraded by one category. You can repress this spell to add the following effect to the above: if the target's interaction is Neutral, downgrade it to Weakness."
Ma Magnadyne (SoS III),Earth,III,"Total, Fire, Earth, Duel, Debuff (A)",Any number of targets the caster can see,Default,Instant,"Hit: STRd4+6 Fire damage. Choose one of the following: ❖ Dueling: Your Duel target suffers -2 DDC for the next attack you declare against them. ❖ Dueling: The next attack you declare against a Duel target gains Critical Margin +2."
Magma Drop (SoS III),Earth,V,"Mono, Fire, Earth, Duel, Repress (A)",1 target within 8 meters,Default,Instant,"STRd10 Fire damage. Repress to add: Dueling: Every time your duel target takes damage, they take an extra STRd4 fire damage. This damage is based off your STR."
Anger of the Earth (SoS III),Earth,V,"Mono, Fire, Earth, Duel, Combo (A)",1 target within 5 meters,Default,Instant,"STRd12+STR Fire damage. Dueling: You can cast a Tier III or lower Mono Category Earth spell in your deck, targeting your Duel Target, as a Quick action."
Legendary Flex (SoS IV),"Fusion (Physical, Physical)",(Varies),"Mono, Physical, Realized (A)",1 target within 6 meters,Default,Instant,"Hit: STd6/STRd8+5/STRd10+5/STRd12+STR Physical damage and creates a crater in the spot the target occupies. Moving out of this crater to an adjacent space requires a full movement action."
Storm Vanguard (SoS IV),"Fusion (Ice, Wind)",(Varies),"Combo, Ice, Wind (A)",1 target within 7 meters,Default,Instant,"Hit: MAGd8/MAGd10/MAGd12+5/MAGd12+3MAG damage. If this attack kills an enemy, you can deal the remaining damage to another target within range, no dodge check, as a Free action this turn."
Nuclear Shade (SoS IV),"Fusion (Fire, Nuclear)",(Varies),"Multi, fire, Nuclear (X)",Up to 3 targets within 7 meters,Default,Instant,"Hit: MAGd4+3/MAGd6+3/MAGd8+3/MAGd12+MAG damage and ignite the target's spot for 2 rounds. Targets that end their turns in ignited spots or move through them take MAG damage. This stacks with Fire Monk's Trance and Anomalous Alpha."
Brainstorm (SoS IV),"Fusion (Thunder, PSY)",(Varies),"Total, Thunder, PSY, Shocked (A)",Any number of targets within 6 meters,Default,Instant,"Before rolling to hit: MAG%/4MAG%/6MAG%/8MAG% Shocked chance. Hit: MAGd4-5/MAGd4/MAGd6/MAGd10+MAG damage and Ingrain. If the target was Shocked before damage calculation, target suffers Weakness <Status> until the end of the caster's next turn."
